cluster,msg_size,start,end,duration
lyon,1000,5074.468,5074.468,0
lyon,1000,5120.453,5120.453,0
nancy,1000,5155.691,5155.691,0
nancy,1000,5206.6245,5206.6245,0
rennes,1000,4854.5913,4854.5913,0
rennes,1000,4900.06,4900.06,0
rennes,1000,5044.8096,5044.8096,0
rennes,1000,5090.835,5090.835,0
rennes,1000,5049.455,5049.455,0
rennes,1000,5095.445,5095.445,0
rennes,1000,5054.8916,5054.8916,0
rennes,1000,5100.5605,5100.5605,0
rennes,1000,5059.547,5059.547,0
rennes,1000,5104.6206,5104.6206,0
rennes,1000,5063.945,5063.945,0
rennes,1000,5109.2197,5109.2197,0
nantes,1000,5017.107,5017.107,0
nantes,1000,5062.9253,5062.9253,0
nantes,1000,5023.084,5023.084,0
nantes,1000,5068.939,5068.939,0
nantes,1000,5028.522,5028.522,0
nantes,1000,5073.7837,5073.7837,0
nantes,1000,5035.087,5035.087,0
nantes,1000,5080.1675,5080.1675,0
lyon,1000,5080.7744,5080.7744,0
lyon,1000,5125.938,5125.938,0
nantes,1000,5040.907,5040.907,0
nantes,1000,5086.762,5086.762,0
nantes,1000,4973.9707,4973.9707,0
nantes,1000,5019.2197,5019.2197,0
nantes,1000,4980.0405,4980.0405,0
nantes,1000,5025.5225,5025.5225,0
nantes,1000,4985.7485,4985.7485,0
nantes,1000,5030.8276,5030.8276,0
nantes,1000,4992.0093,4992.0093,0
nantes,1000,5037.766,5037.766,0
nantes,1000,4997.771,4997.771,0
nantes,1000,5043.1255,5043.1255,0
nancy,1000,5073.107,5073.107,0
nancy,1000,5123.8506,5123.8506,0
nancy,1000,5076.9146,5076.9146,0
nancy,1000,5127.9175,5127.9175,0
nancy,1000,5081.377,5081.377,0
nancy,1000,5132.821,5132.821,0
nancy,1000,5085.281,5085.281,0
nancy,1000,5135.9927,5135.9927,0
lyon,1000,5086.16,5086.16,0
lyon,1000,5131.672,5131.672,0
nancy,1000,5089.4736,5089.4736,0
nancy,1000,5140.6133,5140.6133,0
lyon,1000,4972.8633,4972.8633,0
lyon,1000,5018.4517,5018.4517,0
lyon,1000,4977.3857,4977.3857,0
lyon,1000,5022.4883,5022.4883,0
lyon,1000,4983.7793,4983.7793,0
lyon,1000,5029.1333,5029.1333,0
lyon,1000,4989.9424,4989.9424,0
lyon,1000,5036.163,5036.163,0
lyon,1000,4995.531,4995.531,0
lyon,1000,5041.521,5041.521,0
lyon,1000,4963.9404,4963.9404,0
lyon,1000,5009.4526,5009.4526,0
lyon,1000,4969.9766,4969.9766,0
lyon,1000,5015.707,5015.707,0
lyon,1000,4974.8916,4974.8916,0
lyon,1000,5020.2236,5020.2236,0
lyon,1000,4981.74,4981.74,0
lyon,1000,5027.023,5027.023,0
lyon,1000,5092.905,5092.905,0
lyon,1000,5138.55,5138.55,0
lyon,1000,4987.286,4987.286,0
lyon,1000,5033.0015,5033.0015,0
rennes,1000,4966.299,4966.299,0
rennes,1000,5011.4814,5011.4814,0
rennes,1000,4970.7573,4970.7573,0
rennes,1000,5016.668,5016.668,0
rennes,1000,4975.6396,4975.6396,0
rennes,1000,5021.387,5021.387,0
rennes,1000,4980.992,4980.992,0
rennes,1000,5026.7847,5026.7847,0
rennes,1000,4985.487,4985.487,0
rennes,1000,5031.154,5031.154,0
nantes,1000,4911.006,4911.006,0
nantes,1000,4956.312,4956.312,0
nantes,1000,4917.5405,4917.5405,0
nantes,1000,4962.44,4962.44,0
nantes,1000,4922.8584,4922.8584,0
nantes,1000,4968.273,4968.273,0
nantes,1000,4930.301,4930.301,0
nantes,1000,4975.2397,4975.2397,0
lyon,1000,5098.589,5098.589,0
lyon,1000,5144.2544,5144.2544,0
nantes,1000,4935.6094,4935.6094,0
nantes,1000,4981.3647,4981.3647,0
nantes,1000,4901.2173,4901.2173,0
nantes,1000,4947.13,4947.13,0
nantes,1000,4906.609,4906.609,0
nantes,1000,4952.0884,4952.0884,0
nantes,1000,4913.0977,4913.0977,0
nantes,1000,4958.448,4958.448,0
nantes,1000,4919.8086,4919.8086,0
nantes,1000,4964.766,4964.766,0
nantes,1000,4924.9497,4924.9497,0
nantes,1000,4970.038,4970.038,0
lyon,1000,4901.2837,4901.2837,0
lyon,1000,4947.34,4947.34,0
lyon,1000,4907.1167,4907.1167,0
lyon,1000,4953.038,4953.038,0
lyon,1000,4912.3647,4912.3647,0
lyon,1000,4957.829,4957.829,0
lyon,1000,4919.397,4919.397,0
lyon,1000,4965.2505,4965.2505,0
nancy,1000,5140.069,5140.069,0
nancy,1000,5190.846,5190.846,0
lyon,1000,4924.7134,4924.7134,0
lyon,1000,4969.981,4969.981,0
nancy,1000,4979.096,4979.096,0
nancy,1000,5029.952,5029.952,0
nancy,1000,4982.5425,4982.5425,0
nancy,1000,5033.611,5033.611,0
nancy,1000,4986.252,4986.252,0
nancy,1000,5037.0894,5037.0894,0
nancy,1000,4990.55,4990.55,0
nancy,1000,5041.4204,5041.4204,0
nancy,1000,4994.441,4994.441,0
nancy,1000,5045.78,5045.78,0
nancy,1000,4969.1553,4969.1553,0
nancy,1000,5019.773,5019.773,0
nancy,1000,4972.6904,4972.6904,0
nancy,1000,5023.1987,5023.1987,0
nancy,1000,4976.694,4976.694,0
nancy,1000,5027.36,5027.36,0
nancy,1000,4980.655,4980.655,0
nancy,1000,5031.7046,5031.7046,0
nancy,1000,5143.914,5143.914,0
nancy,1000,5194.997,5194.997,0
nancy,1000,4984.5605,4984.5605,0
nancy,1000,5035.463,5035.463,0
rennes,1000,4884.488,4884.488,0
rennes,1000,4929.573,4929.573,0
rennes,1000,4889.152,4889.152,0
rennes,1000,4934.208,4934.208,0
rennes,1000,4893.934,4893.934,0
rennes,1000,4939.736,4939.736,0
rennes,1000,4898.6987,4898.6987,0
rennes,1000,4944.125,4944.125,0
rennes,1000,4903.5713,4903.5713,0
rennes,1000,4948.7354,4948.7354,0
lyon,1000,4857.3604,4857.3604,0
lyon,1000,4903.4043,4903.4043,0
lyon,1000,4862.9077,4862.9077,0
lyon,1000,4908.2583,4908.2583,0
lyon,1000,4868.351,4868.351,0
lyon,1000,4913.9463,4913.9463,0
lyon,1000,4875.021,4875.021,0
lyon,1000,4920.8774,4920.8774,0
nancy,1000,5147.636,5147.636,0
nancy,1000,5198.248,5198.248,0
lyon,1000,4881.0015,4881.0015,0
lyon,1000,4926.4004,4926.4004,0
rennes,1000,4857.0415,4857.0415,0
rennes,1000,4902.2617,4902.2617,0
rennes,1000,4861.5034,4861.5034,0
rennes,1000,4906.7573,4906.7573,0
rennes,1000,4866.257,4866.257,0
rennes,1000,4911.675,4911.675,0
rennes,1000,4871.9287,4871.9287,0
rennes,1000,4917.056,4917.056,0
rennes,1000,4876.541,4876.541,0
rennes,1000,4922.2656,4922.2656,0
nantes,1000,4801.7524,4801.7524,0
nantes,1000,4847.2417,4847.2417,0
nantes,1000,4807.364,4807.364,0
nantes,1000,4852.546,4852.546,0
nantes,1000,4813.3696,4813.3696,0
nantes,1000,4859.207,4859.207,0
nantes,1000,4819.968,4819.968,0
nantes,1000,4865.0693,4865.0693,0
nancy,1000,5151.668,5151.668,0
nancy,1000,5202.9893,5202.9893,0
nantes,1000,4826.3696,4826.3696,0
nantes,1000,4871.53,4871.53,0
nancy,1000,4903.1763,4903.1763,0
nancy,1000,4953.7676,4953.7676,0
nancy,1000,4907.339,4907.339,0
nancy,1000,4958.411,4958.411,0
nancy,1000,4911.173,4911.173,0
nancy,1000,4962.525,4962.525,0
nancy,1000,4915.264,4915.264,0
nancy,1000,4966.108,4966.108,0
nancy,1000,4919.781,4919.781,0
nancy,1000,4970.627,4970.627,0
rennes,1000,4835.027,4835.027,0
rennes,1000,4881.0464,4881.0464,0
rennes,1000,4840.235,4840.235,0
rennes,1000,4885.314,4885.314,0
rennes,1000,4845.0854,4845.0854,0
rennes,1000,4890.862,4890.862,0
rennes,1000,4849.8965,4849.8965,0
rennes,1000,4894.976,4894.976,0
lyon,1000,5093.1626,5093.1626,0
lyon,1000,5139.211,5139.211,0
nancy,1000,5195.0654,5195.0654,0
nancy,1000,5246.4185,5246.4185,0
rennes,1000,4869.4272,4869.4272,0
rennes,1000,4915.262,4915.262,0
rennes,1000,5073.5996,5073.5996,0
rennes,1000,5119.781,5119.781,0
rennes,1000,5078.4214,5078.4214,0
rennes,1000,5124.4927,5124.4927,0
rennes,1000,5083.2124,5083.2124,0
rennes,1000,5128.7705,5128.7705,0
rennes,1000,5087.8276,5087.8276,0
rennes,1000,5133.925,5133.925,0
rennes,1000,5092.3076,5092.3076,0
rennes,1000,5138.5503,5138.5503,0
nantes,1000,5050.4536,5050.4536,0
nantes,1000,5096.4194,5096.4194,0
nantes,1000,5055.9346,5055.9346,0
nantes,1000,5101.892,5101.892,0
nantes,1000,5062.5156,5062.5156,0
nantes,1000,5108.5366,5108.5366,0
nantes,1000,5068.154,5068.154,0
nantes,1000,5113.5967,5113.5967,0
lyon,1000,5099.5713,5099.5713,0
lyon,1000,5145.143,5145.143,0
nantes,1000,5073.625,5073.625,0
nantes,1000,5119.043,5119.043,0
nantes,1000,5021.5166,5021.5166,0
nantes,1000,5067.048,5067.048,0
nantes,1000,5027.5366,5027.5366,0
nantes,1000,5073.113,5073.113,0
nantes,1000,5033.6206,5033.6206,0
nantes,1000,5079.626,5079.626,0
nantes,1000,5040.2544,5040.2544,0
nantes,1000,5086.1646,5086.1646,0
nantes,1000,5046.034,5046.034,0
nantes,1000,5092.1846,5092.1846,0
nancy,1000,5116.8975,5116.8975,0
nancy,1000,5168.246,5168.246,0
nancy,1000,5120.7188,5120.7188,0
nancy,1000,5172.3164,5172.3164,0
nancy,1000,5124.969,5124.969,0
nancy,1000,5175.844,5175.844,0
nancy,1000,5129.2935,5129.2935,0
nancy,1000,5180.5664,5180.5664,0
lyon,1000,5104.401,5104.401,0
lyon,1000,5149.91,5149.91,0
nancy,1000,5133.3984,5133.3984,0
nancy,1000,5184.8716,5184.8716,0
lyon,1000,5009.7544,5009.7544,0
lyon,1000,5055.6973,5055.6973,0
lyon,1000,5014.7173,5014.7173,0
lyon,1000,5060.534,5060.534,0
lyon,1000,5020.4736,5020.4736,0
lyon,1000,5066.3247,5066.3247,0
lyon,1000,5026.7524,5026.7524,0
lyon,1000,5072.7847,5072.7847,0
lyon,1000,5032.3384,5032.3384,0
lyon,1000,5077.852,5077.852,0
lyon,1000,5002.623,5002.623,0
lyon,1000,5048.254,5048.254,0
lyon,1000,5008.2295,5008.2295,0
lyon,1000,5054.0303,5054.0303,0
lyon,1000,5013.7227,5013.7227,0
lyon,1000,5059.124,5059.124,0
lyon,1000,5020.1704,5020.1704,0
lyon,1000,5065.567,5065.567,0
lyon,1000,5111.235,5111.235,0
lyon,1000,5156.818,5156.818,0
lyon,1000,5025.474,5025.474,0
lyon,1000,5071.386,5071.386,0
rennes,1000,5004.499,5004.499,0
rennes,1000,5050.195,5050.195,0
rennes,1000,5009.0605,5009.0605,0
rennes,1000,5054.7227,5054.7227,0
rennes,1000,5014.603,5014.603,0
rennes,1000,5060.3076,5060.3076,0
rennes,1000,5019.5933,5019.5933,0
rennes,1000,5065.1724,5065.1724,0
rennes,1000,5024.011,5024.011,0
rennes,1000,5070.101,5070.101,0
nantes,1000,4934.81,4934.81,0
nantes,1000,4980.8174,4980.8174,0
nantes,1000,4941.191,4941.191,0
nantes,1000,4986.624,4986.624,0
nantes,1000,4946.62,4946.62,0
nantes,1000,4992.0415,4992.0415,0
nantes,1000,4953.4414,4953.4414,0
nantes,1000,4998.8696,4998.8696,0
lyon,1000,5116.506,5116.506,0
lyon,1000,5162.034,5162.034,0
nantes,1000,4959.4536,4959.4536,0
nantes,1000,5005.2188,5005.2188,0
nantes,1000,4923.0356,4923.0356,0
nantes,1000,4968.4346,4968.4346,0
nantes,1000,4929.513,4929.513,0
nantes,1000,4974.9214,4974.9214,0
nantes,1000,4935.0776,4935.0776,0
nantes,1000,4980.723,4980.723,0
nantes,1000,4941.7144,4941.7144,0
nantes,1000,4987.233,4987.233,0
nantes,1000,4947.1147,4947.1147,0
nantes,1000,4992.6763,4992.6763,0
lyon,1000,4938.4224,4938.4224,0
lyon,1000,4983.897,4983.897,0
lyon,1000,4945.0674,4945.0674,0
lyon,1000,4991.222,4991.222,0
lyon,1000,4950.6113,4950.6113,0
lyon,1000,4996.2666,4996.2666,0
lyon,1000,4957.275,4957.275,0
lyon,1000,5003.168,5003.168,0
nancy,1000,5179.8975,5179.8975,0
nancy,1000,5231.39,5231.39,0
lyon,1000,4963.085,4963.085,0
lyon,1000,5008.532,5008.532,0
nancy,1000,5019.3516,5019.3516,0
nancy,1000,5070.459,5070.459,0
nancy,1000,5023.205,5023.205,0
nancy,1000,5074.025,5074.025,0
nancy,1000,5027.207,5027.207,0
nancy,1000,5078.7964,5078.7964,0
nancy,1000,5030.969,5030.969,0
nancy,1000,5082.2944,5082.2944,0
nancy,1000,5034.57,5034.57,0
nancy,1000,5086.0044,5086.0044,0
nancy,1000,4993.107,4993.107,0
nancy,1000,5044.362,5044.362,0
nancy,1000,4997.023,4997.023,0
nancy,1000,5048.1836,5048.1836,0
nancy,1000,5001.312,5001.312,0
nancy,1000,5052.219,5052.219,0
nancy,1000,5005.473,5005.473,0
nancy,1000,5056.7607,5056.7607,0
nancy,1000,5183.4614,5183.4614,0
nancy,1000,5235.1426,5235.1426,0
nancy,1000,5009.622,5009.622,0
nancy,1000,5060.7983,5060.7983,0
rennes,1000,4886.507,4886.507,0
rennes,1000,4932.041,4932.041,0
rennes,1000,4891.4453,4891.4453,0
rennes,1000,4936.9927,4936.9927,0
rennes,1000,4896.219,4896.219,0
rennes,1000,4941.753,4941.753,0
rennes,1000,4901.6895,4901.6895,0
rennes,1000,4947.792,4947.792,0
rennes,1000,4906.617,4906.617,0
rennes,1000,4952.0654,4952.0654,0
lyon,1000,4878.473,4878.473,0
lyon,1000,4924.403,4924.403,0
lyon,1000,4884.389,4884.389,0
lyon,1000,4930.44,4930.44,0
lyon,1000,4889.3486,4889.3486,0
lyon,1000,4935.3467,4935.3467,0
lyon,1000,4895.559,4895.559,0
lyon,1000,4941.265,4941.265,0
nancy,1000,5187.2837,5187.2837,0
nancy,1000,5238.7344,5238.7344,0
lyon,1000,4901.0557,4901.0557,0
lyon,1000,4947.3228,4947.3228,0
rennes,1000,4867.828,4867.828,0
rennes,1000,4913.2744,4913.2744,0
rennes,1000,4872.293,4872.293,0
rennes,1000,4918.133,4918.133,0
rennes,1000,4876.927,4876.927,0
rennes,1000,4923.1357,4923.1357,0
rennes,1000,4881.936,4881.936,0
rennes,1000,4927.37,4927.37,0
rennes,1000,4887.2363,4887.2363,0
rennes,1000,4933.1226,4933.1226,0
nantes,1000,4829.9463,4829.9463,0
nantes,1000,4875.6978,4875.6978,0
nantes,1000,4836.302,4836.302,0
nantes,1000,4882.0176,4882.0176,0
nantes,1000,4842.2563,4842.2563,0
nantes,1000,4887.7183,4887.7183,0
nantes,1000,4849.0674,4849.0674,0
nantes,1000,4894.638,4894.638,0
nancy,1000,5191.3276,5191.3276,0
nancy,1000,5242.2017,5242.2017,0
nantes,1000,4854.812,4854.812,0
nantes,1000,4900.812,4900.812,0
nancy,1000,4925.326,4925.326,0
nancy,1000,4976.4897,4976.4897,0
nancy,1000,4928.91,4928.91,0
nancy,1000,4980.5815,4980.5815,0
nancy,1000,4932.846,4932.846,0
nancy,1000,4983.684,4983.684,0
nancy,1000,4936.8022,4936.8022,0
nancy,1000,4987.9536,4987.9536,0
nancy,1000,4940.311,4940.311,0
nancy,1000,4991.408,4991.408,0
rennes,1000,4850.9116,4850.9116,0
rennes,1000,4896.514,4896.514,0
rennes,1000,4855.593,4855.593,0
rennes,1000,4901.462,4901.462,0
rennes,1000,4860.4624,4860.4624,0
rennes,1000,4905.95,4905.95,0
rennes,1000,4864.9385,4864.9385,0
rennes,1000,4910.92,4910.92,0
lyon,1000,4984.97,4984.97,0
lyon,1000,5030.598,5030.598,0
nancy,1000,5059.614,5059.614,0
nancy,1000,5110.6455,5110.6455,0
rennes,1000,4851.299,4851.299,0
rennes,1000,4897.166,4897.166,0
rennes,1000,4978.7207,4978.7207,0
rennes,1000,5024.2085,5024.2085,0
rennes,1000,4983.44,4983.44,0
rennes,1000,5029.983,5029.983,0
rennes,1000,4988.149,4988.149,0
rennes,1000,5033.643,5033.643,0
rennes,1000,4993.5073,4993.5073,0
rennes,1000,5038.8003,5038.8003,0
rennes,1000,4998.0273,4998.0273,0
rennes,1000,5043.6455,5043.6455,0
nantes,1000,4925.3564,4925.3564,0
nantes,1000,4970.8623,4970.8623,0
nantes,1000,4930.669,4930.669,0
nantes,1000,4975.776,4975.776,0
nantes,1000,4936.3794,4936.3794,0
nantes,1000,4981.5366,4981.5366,0
nantes,1000,4942.4805,4942.4805,0
nantes,1000,4987.559,4987.559,0
lyon,1000,4991.0137,4991.0137,0
lyon,1000,5037.183,5037.183,0
nantes,1000,4948.5073,4948.5073,0
nantes,1000,4994.3696,4994.3696,0
nantes,1000,4906.5645,4906.5645,0
nantes,1000,4951.656,4951.656,0
nantes,1000,4912.6255,4912.6255,0
nantes,1000,4958.97,4958.97,0
nantes,1000,4918.324,4918.324,0
nantes,1000,4964.655,4964.655,0
nantes,1000,4924.7417,4924.7417,0
nantes,1000,4970.391,4970.391,0
nantes,1000,4930.362,4930.362,0
nantes,1000,4976.3276,4976.3276,0
nancy,1000,5035.319,5035.319,0
nancy,1000,5086.125,5086.125,0
nancy,1000,5039.0146,5039.0146,0
nancy,1000,5089.798,5089.798,0
nancy,1000,5043.082,5043.082,0
nancy,1000,5094.268,5094.268,0
nancy,1000,5046.993,5046.993,0
nancy,1000,5099.1343,5099.1343,0
lyon,1000,4996.2944,4996.2944,0
lyon,1000,5042.366,5042.366,0
nancy,1000,5050.9004,5050.9004,0
nancy,1000,5101.8877,5101.8877,0
lyon,1000,4921.902,4921.902,0
lyon,1000,4967.518,4967.518,0
lyon,1000,4928.5195,4928.5195,0
lyon,1000,4973.9595,4973.9595,0
lyon,1000,4933.5405,4933.5405,0
lyon,1000,4979.0645,4979.0645,0
lyon,1000,4940.0522,4940.0522,0
lyon,1000,4986.0034,4986.0034,0
lyon,1000,4945.7007,4945.7007,0
lyon,1000,4991.2466,4991.2466,0
lyon,1000,4902.225,4902.225,0
lyon,1000,4948.39,4948.39,0
lyon,1000,4908.269,4908.269,0
lyon,1000,4953.837,4953.837,0
lyon,1000,4913.1587,4913.1587,0
lyon,1000,4959.364,4959.364,0
lyon,1000,4919.2725,4919.2725,0
lyon,1000,4965.7246,4965.7246,0
lyon,1000,5002.6772,5002.6772,0
lyon,1000,5049.136,5049.136,0
lyon,1000,4925.045,4925.045,0
lyon,1000,4971.4546,4971.4546,0
rennes,1000,4926.985,4926.985,0
rennes,1000,4973.1304,4973.1304,0
rennes,1000,4931.5425,4931.5425,0
rennes,1000,4977.118,4977.118,0
rennes,1000,4936.451,4936.451,0
rennes,1000,4982.7617,4982.7617,0
rennes,1000,4941.502,4941.502,0
rennes,1000,4986.6753,4986.6753,0
rennes,1000,4946.028,4946.028,0
rennes,1000,4992.294,4992.294,0
nantes,1000,4860.3306,4860.3306,0
nantes,1000,4906.0347,4906.0347,0
nantes,1000,4866.809,4866.809,0
nantes,1000,4911.9653,4911.9653,0
nantes,1000,4872.327,4872.327,0
nantes,1000,4918.5015,4918.5015,0
nantes,1000,4879.7246,4879.7246,0
nantes,1000,4926.091,4926.091,0
lyon,1000,5008.232,5008.232,0
lyon,1000,5053.6284,5053.6284,0
nantes,1000,4885.2314,4885.2314,0
nantes,1000,4931.228,4931.228,0
nantes,1000,4824.177,4824.177,0
nantes,1000,4869.455,4869.455,0
nantes,1000,4830.3364,4830.3364,0
nantes,1000,4876.37,4876.37,0
nantes,1000,4835.491,4835.491,0
nantes,1000,4882.0283,4882.0283,0
nantes,1000,4842.031,4842.031,0
nantes,1000,4887.975,4887.975,0
nantes,1000,4848.041,4848.041,0
nantes,1000,4893.9097,4893.9097,0
lyon,1000,4866.5493,4866.5493,0
lyon,1000,4912.354,4912.354,0
lyon,1000,4872.752,4872.752,0
lyon,1000,4918.3545,4918.3545,0
lyon,1000,4877.963,4877.963,0
lyon,1000,4923.968,4923.968,0
lyon,1000,4884.526,4884.526,0
lyon,1000,4930.581,4930.581,0
nancy,1000,5043.444,5043.444,0
nancy,1000,5094.2466,5094.2466,0
lyon,1000,4889.88,4889.88,0
lyon,1000,4935.26,4935.26,0
nancy,1000,4945.974,4945.974,0
nancy,1000,4996.7,4996.7,0
nancy,1000,4950.146,4950.146,0
nancy,1000,5001.7217,5001.7217,0
nancy,1000,4954.0645,4954.0645,0
nancy,1000,5005.6055,5005.6055,0
nancy,1000,4958.1113,4958.1113,0
nancy,1000,5009.966,5009.966,0
nancy,1000,4961.9346,4961.9346,0
nancy,1000,5012.94,5012.94,0
nancy,1000,4961.7026,4961.7026,0
nancy,1000,5012.461,5012.461,0
nancy,1000,4965.1484,4965.1484,0
nancy,1000,5016.1494,5016.1494,0
nancy,1000,4968.933,4968.933,0
nancy,1000,5020.5728,5020.5728,0
nancy,1000,4972.8403,4972.8403,0
nancy,1000,5024.0884,5024.0884,0
nancy,1000,5047.272,5047.272,0
nancy,1000,5098.6987,5098.6987,0
nancy,1000,4976.864,4976.864,0
nancy,1000,5027.568,5027.568,0
rennes,1000,4886.569,4886.569,0
rennes,1000,4932.089,4932.089,0
rennes,1000,4891.096,4891.096,0
rennes,1000,4937.2236,4937.2236,0
rennes,1000,4895.874,4895.874,0
rennes,1000,4941.4033,4941.4033,0
rennes,1000,4900.571,4900.571,0
rennes,1000,4946.624,4946.624,0
rennes,1000,4905.5938,4905.5938,0
rennes,1000,4951.952,4951.952,0
lyon,1000,4862.2617,4862.2617,0
lyon,1000,4908.3813,4908.3813,0
lyon,1000,4868.518,4868.518,0
lyon,1000,4913.87,4913.87,0
lyon,1000,4873.637,4873.637,0
lyon,1000,4919.367,4919.367,0
lyon,1000,4880.4595,4880.4595,0
lyon,1000,4926.084,4926.084,0
nancy,1000,5051.475,5051.475,0
nancy,1000,5102.7246,5102.7246,0
lyon,1000,4885.9785,4885.9785,0
lyon,1000,4932.497,4932.497,0
rennes,1000,4892.367,4892.367,0
rennes,1000,4937.9785,4937.9785,0
rennes,1000,4896.815,4896.815,0
rennes,1000,4942.248,4942.248,0
rennes,1000,4901.55,4901.55,0
rennes,1000,4947.0835,4947.0835,0
rennes,1000,4905.904,4905.904,0
rennes,1000,4951.6494,4951.6494,0
rennes,1000,4910.9927,4910.9927,0
rennes,1000,4956.6,4956.6,0
nantes,1000,4805.584,4805.584,0
nantes,1000,4852.499,4852.499,0
nantes,1000,4811.6606,4811.6606,0
nantes,1000,4858.325,4858.325,0
nantes,1000,4817.6616,4817.6616,0
nantes,1000,4862.98,4862.98,0
nantes,1000,4824.1504,4824.1504,0
nantes,1000,4869.72,4869.72,0
nancy,1000,5055.4307,5055.4307,0
nancy,1000,5106.107,5106.107,0
nantes,1000,4829.538,4829.538,0
nantes,1000,4875.5337,4875.5337,0
nancy,1000,4933.4937,4933.4937,0
nancy,1000,4984.2046,4984.2046,0
nancy,1000,4937.183,4937.183,0
nancy,1000,4989.0835,4989.0835,0
nancy,1000,4941.1523,4941.1523,0
nancy,1000,4992.045,4992.045,0
nancy,1000,4945.3467,4945.3467,0
nancy,1000,4997.103,4997.103,0
nancy,1000,4949.4756,4949.4756,0
nancy,1000,5001.713,5001.713,0
rennes,1000,4831.619,4831.619,0
rennes,1000,4877.2993,4877.2993,0
rennes,1000,4836.4634,4836.4634,0
rennes,1000,4881.815,4881.815,0
rennes,1000,4841.661,4841.661,0
rennes,1000,4886.977,4886.977,0
rennes,1000,4846.4404,4846.4404,0
rennes,1000,4891.7725,4891.7725,0
lyon,1000,5081.6235,5081.6235,0
lyon,1000,5126.3936,5126.3936,0
nancy,1000,5173.831,5173.831,0
nancy,1000,5223.9863,5223.9863,0
rennes,1000,4899.9556,4899.9556,0
rennes,1000,4944.271,4944.271,0
rennes,1000,5086.362,5086.362,0
rennes,1000,5130.8584,5130.8584,0
rennes,1000,5091.356,5091.356,0
rennes,1000,5136.3247,5136.3247,0
rennes,1000,5095.987,5095.987,0
rennes,1000,5140.497,5140.497,0
rennes,1000,5100.543,5100.543,0
rennes,1000,5145.759,5145.759,0
rennes,1000,5105.0806,5105.0806,0
rennes,1000,5150.1167,5150.1167,0
nantes,1000,5034.829,5034.829,0
nantes,1000,5079.1084,5079.1084,0
nantes,1000,5040.431,5040.431,0
nantes,1000,5084.8965,5084.8965,0
nantes,1000,5045.5034,5045.5034,0
nantes,1000,5089.769,5089.769,0
nantes,1000,5052.7046,5052.7046,0
nantes,1000,5096.9585,5096.9585,0
lyon,1000,5087.578,5087.578,0
lyon,1000,5132.474,5132.474,0
nantes,1000,5058.1846,5058.1846,0
nantes,1000,5103.082,5103.082,0
nantes,1000,5014.592,5014.592,0
nantes,1000,5059.2886,5059.2886,0
nantes,1000,5021.1562,5021.1562,0
nantes,1000,5065.903,5065.903,0
nantes,1000,5026.2705,5026.2705,0
nantes,1000,5070.976,5070.976,0
nantes,1000,5032.539,5032.539,0
nantes,1000,5077.3887,5077.3887,0
nantes,1000,5038.058,5038.058,0
nantes,1000,5082.9355,5082.9355,0
nancy,1000,5130.423,5130.423,0
nancy,1000,5180.4775,5180.4775,0
nancy,1000,5134.3623,5134.3623,0
nancy,1000,5184.699,5184.699,0
nancy,1000,5138.548,5138.548,0
nancy,1000,5189.197,5189.197,0
nancy,1000,5142.8184,5142.8184,0
nancy,1000,5192.8926,5192.8926,0
lyon,1000,5092.6924,5092.6924,0
lyon,1000,5137.2295,5137.2295,0
nancy,1000,5146.812,5146.812,0
nancy,1000,5197.464,5197.464,0
lyon,1000,5011.7554,5011.7554,0
lyon,1000,5056.4873,5056.4873,0
lyon,1000,5016.174,5016.174,0
lyon,1000,5061.3735,5061.3735,0
lyon,1000,5021.9287,5021.9287,0
lyon,1000,5066.975,5066.975,0
lyon,1000,5028.644,5028.644,0
lyon,1000,5073.8765,5073.8765,0
lyon,1000,5033.7725,5033.7725,0
lyon,1000,5078.7886,5078.7886,0
lyon,1000,4988.103,4988.103,0
lyon,1000,5032.9727,5032.9727,0
lyon,1000,4993.7925,4993.7925,0
lyon,1000,5038.973,5038.973,0
lyon,1000,4998.998,4998.998,0
lyon,1000,5043.8833,5043.8833,0
lyon,1000,5005.24,5005.24,0
lyon,1000,5050.135,5050.135,0
lyon,1000,5099.7812,5099.7812,0
lyon,1000,5144.3687,5144.3687,0
