cluster,msg_size,time
lyon,1000,5120.453
nancy,1000,5206.6245
rennes,1000,4900.06
rennes,1000,5090.835
rennes,1000,5095.445
rennes,1000,5100.5605
rennes,1000,5104.6206
rennes,1000,5109.2197
nantes,1000,5062.9253
nantes,1000,5068.939
nantes,1000,5073.7837
nantes,1000,5080.1675
lyon,1000,5125.938
nantes,1000,5086.762
nantes,1000,5019.2197
nantes,1000,5025.5225
nantes,1000,5030.8276
nantes,1000,5037.766
nantes,1000,5043.1255
nancy,1000,5123.8506
nancy,1000,5127.9175
nancy,1000,5132.821
nancy,1000,5135.9927
lyon,1000,5131.672
nancy,1000,5140.6133
lyon,1000,5018.4517
lyon,1000,5022.4883
lyon,1000,5029.1333
lyon,1000,5036.163
lyon,1000,5041.521
lyon,1000,5009.4526
lyon,1000,5015.707
lyon,1000,5020.2236
lyon,1000,5027.023
lyon,1000,5138.55
lyon,1000,5033.0015
rennes,1000,5011.4814
rennes,1000,5016.668
rennes,1000,5021.387
rennes,1000,5026.7847
rennes,1000,5031.154
nantes,1000,4956.312
nantes,1000,4962.44
nantes,1000,4968.273
nantes,1000,4975.2397
lyon,1000,5144.2544
nantes,1000,4981.3647
nantes,1000,4947.13
nantes,1000,4952.0884
nantes,1000,4958.448
nantes,1000,4964.766
nantes,1000,4970.038
lyon,1000,4947.34
lyon,1000,4953.038
lyon,1000,4957.829
lyon,1000,4965.2505
nancy,1000,5190.846
lyon,1000,4969.981
nancy,1000,5029.952
nancy,1000,5033.611
nancy,1000,5037.0894
nancy,1000,5041.4204
nancy,1000,5045.78
nancy,1000,5019.773
nancy,1000,5023.1987
nancy,1000,5027.36
nancy,1000,5031.7046
nancy,1000,5194.997
nancy,1000,5035.463
rennes,1000,4929.573
rennes,1000,4934.208
rennes,1000,4939.736
rennes,1000,4944.125
rennes,1000,4948.7354
lyon,1000,4903.4043
lyon,1000,4908.2583
lyon,1000,4913.9463
lyon,1000,4920.8774
nancy,1000,5198.248
lyon,1000,4926.4004
rennes,1000,4902.2617
