cluster,msg_size,lost,total_msg_packets,loss_rate
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
rennes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nantes,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
nancy,10000000,24,8213,0.0029221965177158166
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
rennes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nantes,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
nancy,10000000,24,8208,0.0029239766081871343
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
rennes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nantes,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
nancy,10000000,24,8224,0.0029182879377431907
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
rennes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
nancy,10000000,24,8210,0.00292326431181486
nantes,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
lyon,10000000,24,8210,0.00292326431181486
