cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
rennes,0,1000000,27,866,0.03117782909930716
lyon,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nancy,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
nantes,0,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
rennes,7,1000000,27,866,0.03117782909930716
lyon,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nancy,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
nantes,7,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
nantes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
nancy,9,1000000,27,866,0.03117782909930716
nancy,9,1000000,27,866,0.03117782909930716
nancy,9,1000000,27,866,0.03117782909930716
nancy,9,1000000,27,866,0.03117782909930716
nancy,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
rennes,9,1000000,27,866,0.03117782909930716
