cluster,run_index,msg_size,start,end,duration
nancy,0,10000,2384.9595,2385.1145,0.1550000000002001
nancy,0,10000,2421.4966,2421.7666,0.2699999999999818
nantes,0,10000,2227.4866,2227.777,0.2903999999998632
nantes,0,10000,2233.2966,2233.5854,0.2887999999998101
nantes,0,10000,2239.7307,2239.8677,0.13699999999971624
nantes,0,10000,2245.0352,2245.3406,0.30540000000019063
nantes,0,10000,2251.8684,2252.2144,0.34600000000000364
nantes,0,10000,2258.0923,2258.3816,0.2893000000003667
rennes,0,10000,2196.493,2196.7305,0.2375000000001819
rennes,0,10000,2201.177,2201.4185,0.2415000000000873
rennes,0,10000,2206.5488,2206.6611,0.11229999999977736
rennes,0,10000,2210.7947,2211.0771,0.2824000000000524
nancy,0,10000,2425.6162,2425.7703,0.15410000000019863
rennes,0,10000,2216.114,2216.2056,0.09159999999974389
rennes,0,10000,2220.3555,2220.583,0.22749999999996362
rennes,0,10000,2225.196,2225.4556,0.25959999999986394
rennes,0,10000,2230.0725,2230.3777,0.3051999999997861
rennes,0,10000,2235.1304,2235.3608,0.23039999999991778
rennes,0,10000,2240.0786,2240.3083,0.22970000000032087
rennes,0,10000,2245.309,2245.5613,0.25229999999965
rennes,0,10000,2249.8523,2250.1292,0.2768999999998414
rennes,0,10000,2254.9692,2255.2285,0.2593000000001666
rennes,0,10000,2260.0444,2260.2725,0.228099999999813
nancy,0,10000,2429.4949,2429.67,0.17509999999992942
rennes,0,10000,2264.8975,2265.1233,0.22580000000016298
lyon,0,10000,1753.5637,1753.7117,0.14800000000013824
lyon,0,10000,1764.5754,1764.7184,0.1430000000000291
lyon,0,10000,1775.4752,1775.9066,0.4313999999999396
lyon,0,10000,1787.6447,1788.039,0.39429999999993015
lyon,0,10000,1798.4996,1798.9489,0.4492999999999938
lyon,0,10000,1809.804,1810.2345,0.43049999999993815
lyon,0,10000,1820.9178,1821.3035,0.38570000000004256
lyon,0,10000,1832.3899,1832.8271,0.4372000000000753
lyon,0,10000,1843.799,1844.1641,0.365099999999984
nancy,0,10000,2433.3616,2433.5137,0.15209999999979118
lyon,0,10000,1854.735,1855.2024,0.4673999999999978
lyon,0,10000,1864.9656,1865.3971,0.4314999999999145
lyon,0,10000,1878.1642,1878.3164,0.15219999999999345
lyon,0,10000,1887.9857,1888.413,0.4273000000000593
lyon,0,10000,1898.697,1899.064,0.3670000000001892
lyon,0,10000,1909.6222,1910.0303,0.4080999999998767
lyon,0,10000,2162.8394,2163.0596,0.22020000000020445
lyon,0,10000,2169.216,2169.3135,0.09750000000030923
lyon,0,10000,2174.5857,2174.6602,0.07449999999971624
lyon,0,10000,2180.9258,2181.0308,0.10500000000001819
nancy,0,10000,2437.1792,2437.4478,0.2685999999998785
lyon,0,10000,2185.8396,2186.064,0.22440000000005966
lyon,0,10000,2191.7673,2192.0415,0.274199999999837
lyon,0,10000,2197.5742,2197.6575,0.083299999999781
lyon,0,10000,2203.3955,2203.6897,0.29419999999981883
lyon,0,10000,2208.9397,2209.1284,0.18870000000015352
lyon,0,10000,2215.3376,2215.5808,0.2432000000003427
lyon,0,10000,2220.6206,2220.8096,0.18899999999985084
lyon,0,10000,2227.1846,2227.387,0.20240000000012515
lyon,0,10000,2232.2627,2232.461,0.19829999999956271
lyon,0,10000,2238.9146,2239.096,0.1813999999999396
nancy,0,10000,2441.284,2441.5513,0.26729999999997744
lyon,0,10000,2244.6406,2244.9114,0.270799999999781
rennes,0,10000,2169.6406,2169.7585,0.11789999999973588
rennes,0,10000,2174.5232,2174.6138,0.0905999999999949
rennes,0,10000,2179.4836,2179.5754,0.09180000000014843
rennes,0,10000,2184.408,2184.549,0.1410000000000764
rennes,0,10000,2188.9275,2189.1284,0.2009000000002743
rennes,0,10000,2194.1304,2194.2622,0.13180000000011205
rennes,0,10000,2199.1023,2199.3535,0.2512000000001535
rennes,0,10000,2204.2925,2204.4258,0.1332999999999629
rennes,0,10000,2209.4353,2209.6497,0.21439999999984138
nantes,0,10000,2242.673,2242.7983,0.12530000000015207
rennes,0,10000,2213.988,2214.1416,0.15360000000009677
rennes,0,10000,2219.07,2219.2598,0.18979999999965003
rennes,0,10000,2224.077,2224.187,0.10999999999967258
rennes,0,10000,2229.021,2229.1233,0.10230000000001382
rennes,0,10000,2234.1458,2234.3215,0.17570000000023356
rennes,0,10000,2238.957,2239.0964,0.13940000000002328
nancy,0,10000,2248.6782,2248.7449,0.06670000000030996
nancy,0,10000,2252.2803,2252.3833,0.10300000000006548
nancy,0,10000,2256.349,2256.4243,0.07529999999997017
nancy,0,10000,2260.3665,2260.468,0.1014999999997599
nantes,0,10000,2247.0398,2247.4675,0.42770000000018626
nancy,0,10000,2264.3196,2264.4429,0.12330000000019936
nancy,0,10000,2268.399,2268.4727,0.07369999999991705
nancy,0,10000,2272.4844,2272.5583,0.0739000000003216
nancy,0,10000,2276.4265,2276.479,0.05249999999978172
nancy,0,10000,2280.404,2280.477,0.0729999999998654
nancy,0,10000,2284.4976,2284.6416,0.14399999999977808
nancy,0,10000,2288.3516,2288.4817,0.13009999999985666
nancy,0,10000,2292.4705,2292.6208,0.15030000000024302
nancy,0,10000,2296.4119,2296.5134,0.1014999999997599
nancy,0,10000,2300.7222,2300.825,0.10279999999966094
nantes,0,10000,2252.8562,2253.2554,0.399199999999837
nancy,0,10000,2305.0767,2305.2346,0.1578999999996995
nancy,0,10000,2246.0747,2246.437,0.36229999999977736
nancy,0,10000,2250.065,2250.4312,0.36619999999993524
nancy,0,10000,2254.099,2254.4626,0.3635999999996784
nancy,0,10000,2258.3623,2258.6772,0.31490000000030705
nancy,0,10000,2262.5942,2262.906,0.31179999999994834
nancy,0,10000,2266.2212,2266.553,0.33179999999993015
nancy,0,10000,2270.2336,2270.583,0.34940000000005966
nancy,0,10000,2274.267,2274.4734,0.20640000000003056
nancy,0,10000,2278.1523,2278.5107,0.35839999999961947
nantes,0,10000,2260.0598,2260.1807,0.12089999999989232
nancy,0,10000,2282.4028,2282.7207,0.31790000000000873
nancy,0,10000,2286.5378,2286.8044,0.2665999999999258
nancy,0,10000,2290.8037,2291.1199,0.3162000000002081
nancy,0,10000,2294.815,2295.1436,0.3285999999998239
nancy,0,10000,2299.0735,2299.404,0.3305000000000291
nancy,0,10000,2303.2507,2303.5168,0.2660999999998239
nancy,0,10000,2206.4028,2206.729,0.3261999999999716
nancy,0,10000,2210.1924,2210.3792,0.18679999999994834
nancy,0,10000,2214.0393,2214.369,0.3297000000002299
nancy,0,10000,2217.9912,2218.3416,0.3504000000002634
nancy,0,10000,2388.7776,2388.9365,0.15889999999990323
nantes,0,10000,2265.0723,2265.4668,0.3945000000003347
nancy,0,10000,2222.0193,2222.3428,0.32349999999996726
nancy,0,10000,2226.1873,2226.4958,0.3085000000000946
nancy,0,10000,2229.9204,2230.2302,0.30979999999999563
nancy,0,10000,2233.8418,2234.1868,0.3449999999997999
nancy,0,10000,2237.6711,2238.04,0.3688999999999396
nancy,0,10000,2241.7034,2242.0247,0.32130000000006476
nancy,0,10000,2245.8416,2246.1033,0.2617000000000189
nancy,0,10000,2250.0818,2250.4055,0.32369999999991705
nancy,0,10000,2254.512,2254.837,0.3249999999998181
nancy,0,10000,2258.6492,2258.9775,0.3283000000001266
nantes,0,10000,2271.5745,2272.0068,0.43229999999994106
nancy,0,10000,2262.633,2262.9753,0.3423000000002503
nantes,0,10000,2071.8123,2072.083,0.27070000000003347
nantes,0,10000,2077.8892,2078.1335,0.2442999999998392
nantes,0,10000,2082.7483,2082.9858,0.23749999999972715
nantes,0,10000,2089.9526,2090.0596,0.1069999999999709
nantes,0,10000,2095.012,2095.248,0.2359999999998763
nantes,0,10000,2101.3672,2101.621,0.2537999999999556
nantes,0,10000,2106.8938,2107.146,0.25220000000035725
nantes,0,10000,2113.843,2113.946,0.10300000000006548
nantes,0,10000,2118.7942,2119.053,0.25880000000006476
nantes,0,10000,2276.8965,2277.2957,0.39920000000029177
nantes,0,10000,2126.0034,2126.1118,0.10840000000007421
nantes,0,10000,2131.3413,2131.5881,0.24679999999989377
nantes,0,10000,2138.2117,2138.445,0.2333000000003267
nantes,0,10000,2143.484,2143.8171,0.33310000000028595
nantes,0,10000,2150.6292,2150.8997,0.2705000000000837
nantes,0,10000,2156.7358,2156.9712,0.23540000000002692
rennes,0,10000,2102.3232,2102.526,0.20280000000002474
rennes,0,10000,2107.6477,2107.7415,0.09380000000010114
rennes,0,10000,2112.2693,2112.3938,0.12449999999989814
rennes,0,10000,2117.349,2117.5193,0.17029999999977008
nantes,0,10000,2283.17,2283.6292,0.45919999999978245
rennes,0,10000,2122.1296,2122.3323,0.20269999999982247
rennes,0,10000,2126.7222,2126.8455,0.12329999999974461
rennes,0,10000,2131.749,2131.898,0.14900000000034197
rennes,0,10000,2136.5793,2136.7185,0.1392000000000735
rennes,0,10000,2141.025,2141.2346,0.20959999999968204
rennes,0,10000,2147.2092,2147.2964,0.08720000000039363
rennes,0,10000,2151.9553,2152.152,0.19669999999996435
rennes,0,10000,2157.0054,2157.244,0.23860000000013315
rennes,0,10000,2161.9392,2162.1455,0.20630000000028303
rennes,0,10000,2166.9883,2167.1301,0.14179999999987558
nantes,0,10000,2289.0842,2289.1897,0.10550000000012005
rennes,0,10000,2172.0757,2172.207,0.1313000000000102
lyon,0,10000,2067.9685,2068.0889,0.1204000000002452
lyon,0,10000,2072.989,2073.405,0.41600000000016735
lyon,0,10000,2078.0042,2078.4077,0.40350000000034925
lyon,0,10000,2084.245,2084.6602,0.4151999999999134
lyon,0,10000,2089.3062,2089.7341,0.42790000000013606
lyon,0,10000,2095.9707,2096.3623,0.3915999999999258
lyon,0,10000,2101.6846,2101.771,0.0864000000001397
lyon,0,10000,2107.5396,2107.8716,0.33199999999987995
lyon,0,10000,2113.1392,2113.4526,0.31340000000000146
nantes,0,10000,2295.5679,2295.9385,0.370600000000195
lyon,0,10000,2118.4968,2118.9224,0.4256000000000313
lyon,0,10000,2124.8325,2124.9146,0.08210000000008222
lyon,0,10000,2131.3923,2131.795,0.4027000000000953
lyon,0,10000,2136.476,2136.8423,0.36629999999968277
lyon,0,10000,2143.042,2143.397,0.3550000000000182
lyon,0,10000,2148.846,2149.255,0.4090000000001055
rennes,0,10000,2081.6274,2081.8901,0.26270000000022264
rennes,0,10000,2086.6694,2086.758,0.08859999999958745
rennes,0,10000,2091.3936,2091.6643,0.27070000000003347
rennes,0,10000,2096.286,2096.5518,0.2658000000001266
nantes,0,10000,2301.0203,2301.3765,0.35619999999971697
rennes,0,10000,2101.1025,2101.3572,0.25469999999995707
rennes,0,10000,2106.2117,2106.4412,0.22950000000037107
rennes,0,10000,2111.524,2111.8384,0.3144000000002052
rennes,0,10000,2116.2769,2116.543,0.26610000000027867
rennes,0,10000,2121.212,2121.51,0.2980000000002292
rennes,0,10000,2125.925,2126.188,0.26299999999991996
rennes,0,10000,2130.8047,2131.0774,0.2726999999999862
rennes,0,10000,2135.2502,2135.531,0.2807999999999993
rennes,0,10000,2140.4712,2140.7263,0.25509999999985666
rennes,0,10000,2145.7456,2145.8674,0.12179999999989377
nantes,0,10000,2307.4846,2307.879,0.3944000000001324
rennes,0,10000,2150.3635,2150.6077,0.24420000000009168
nancy,0,10000,2163.4253,2163.7434,0.3180999999999585
nancy,0,10000,2167.396,2167.7207,0.32469999999966603
nancy,0,10000,2171.3105,2171.6416,0.3310999999998785
nancy,0,10000,2175.3384,2175.6555,0.3170999999997548
nancy,0,10000,2179.1128,2179.4634,0.3506000000002132
nancy,0,10000,2183.1458,2183.4624,0.3166000000001077
nancy,0,10000,2187.588,2187.9148,0.326799999999821
nancy,0,10000,2191.6772,2191.9355,0.2582999999999629
nancy,0,10000,2195.6077,2195.871,0.26330000000007203
nantes,0,10000,2313.0042,2313.4028,0.39859999999998763
nancy,0,10000,2199.5876,2200.0234,0.43580000000019936
nancy,0,10000,2203.87,2204.1313,0.2613000000001193
nancy,0,10000,2208.131,2208.494,0.36300000000028376
nancy,0,10000,2212.4067,2212.7617,0.3550000000000182
nancy,0,10000,2216.775,2217.1377,0.3627000000001317
nancy,0,10000,2220.872,2221.1948,0.32280000000037035
lyon,0,10000,1579.4847,1579.7136,0.22890000000006694
lyon,0,10000,1589.5647,1589.7762,0.2115000000001146
lyon,0,10000,1602.7104,1602.8549,0.14450000000010732
lyon,0,10000,1613.4192,1613.6335,0.2142999999998665
nantes,0,10000,2319.4639,2319.902,0.4380999999998494
lyon,0,10000,1625.1656,1625.3004,0.1348000000000411
lyon,0,10000,1636.1298,1636.2632,0.13340000000016516
lyon,0,10000,1648.1056,1648.3201,0.21449999999981628
lyon,0,10000,1659.0586,1659.3955,0.3369000000000142
lyon,0,10000,1670.8228,1671.1545,0.3317000000001826
lyon,0,10000,1682.1108,1682.4631,0.3523000000000138
lyon,0,10000,1694.1161,1694.2446,0.12850000000003092
lyon,0,10000,1703.9752,1704.2097,0.23450000000002547
lyon,0,10000,1716.0916,1716.3394,0.2478000000000975
lyon,0,10000,1727.0747,1727.4102,0.33550000000013824
nancy,0,10000,2392.9219,2393.1829,0.26099999999996726
nantes,0,10000,2325.9368,2326.4182,0.4814000000001215
lyon,0,10000,1738.4163,1738.6956,0.27929999999992106
lyon,0,10000,2241.5093,2241.6716,0.16229999999995925
lyon,0,10000,2247.1711,2247.464,0.2928999999999178
lyon,0,10000,2253.1663,2253.405,0.23870000000033542
lyon,0,10000,2259.6316,2259.9233,0.29169999999976426
lyon,0,10000,2265.6687,2265.813,0.14429999999993015
lyon,0,10000,2271.7969,2271.9246,0.12770000000000437
lyon,0,10000,2276.7944,2277.1824,0.38799999999991996
lyon,0,10000,2282.937,2283.1821,0.24510000000009313
lyon,0,10000,2288.2676,2288.542,0.2743999999997868
nancy,0,10000,2396.9775,2397.2424,0.26490000000012515
lyon,0,10000,2294.3367,2294.6023,0.2656000000001768
lyon,0,10000,2299.765,2300.0063,0.24130000000013752
lyon,0,10000,2305.7056,2306.014,0.30840000000034706
lyon,0,10000,2311.2617,2311.5374,0.2757000000001426
lyon,0,10000,2318.0398,2318.3599,0.32009999999991123
lyon,0,10000,2323.8188,2324.149,0.33019999999987704
nantes,0,10000,2225.8765,2226.1646,0.2881000000002132
nantes,0,10000,2231.36,2231.4487,0.08869999999978972
nantes,0,10000,2237.4646,2237.6643,0.19970000000012078
nantes,0,10000,2242.8655,2243.0867,0.22119999999995343
nancy,0,10000,2400.9902,2401.1465,0.1562999999996464
nantes,0,10000,2249.2065,2249.3723,0.16580000000021755
nantes,0,10000,2254.8142,2254.9526,0.1384000000002743
nantes,0,10000,2261.7756,2261.89,0.11439999999993233
nantes,0,10000,2267.858,2268.0664,0.20839999999998327
nantes,0,10000,2274.5466,2274.7856,0.23900000000003274
nantes,0,10000,2280.2302,2280.478,0.2478000000000975
nantes,0,10000,2286.544,2286.6826,0.1386000000002241
nantes,0,10000,2293.1672,2293.3745,0.20730000000003201
nantes,0,10000,2299.27,2299.461,0.19099999999980355
nantes,0,10000,2306.1353,2306.297,0.16170000000010987
nancy,0,10000,2405.2134,2405.474,0.26060000000006767
nantes,0,10000,2311.9937,2312.251,0.2573000000002139
nantes,0,10000,2206.8376,2207.2156,0.37800000000015643
nantes,0,10000,2212.923,2213.26,0.33700000000044383
nantes,0,10000,2218.4795,2218.7656,0.2861000000002605
nantes,0,10000,2224.3103,2224.7349,0.42459999999982756
nantes,0,10000,2229.7852,2230.1917,0.40650000000005093
nantes,0,10000,2236.4138,2236.7673,0.35350000000016735
nantes,0,10000,2242.0137,2242.3608,0.3470999999999549
nantes,0,10000,2247.9478,2248.3513,0.4034999999998945
nantes,0,10000,2254.776,2254.9158,0.13980000000037762
nancy,0,10000,2409.1675,2409.431,0.26350000000002183
nantes,0,10000,2261.076,2261.417,0.3409999999998945
nantes,0,10000,2266.7659,2267.1077,0.34180000000014843
nantes,0,10000,2273.341,2273.7556,0.41460000000006403
nantes,0,10000,2279.347,2279.7075,0.36049999999977445
nantes,0,10000,2286.1348,2286.48,0.34520000000020445
nantes,0,10000,2292.7559,2292.8765,0.12059999999974025
rennes,0,10000,2246.4666,2246.8704,0.4037999999995918
rennes,0,10000,2251.5708,2251.7168,0.14600000000018554
rennes,0,10000,2256.0825,2256.4634,0.3809000000001106
rennes,0,10000,2261.056,2261.422,0.36599999999998545
nancy,0,10000,2413.3472,2413.5066,0.1594000000000051
rennes,0,10000,2265.8909,2266.263,0.37210000000004584
rennes,0,10000,2270.9282,2271.283,0.3548000000000684
rennes,0,10000,2276.1294,2276.4675,0.3381000000003951
rennes,0,10000,2280.8562,2281.2517,0.3954999999996289
rennes,0,10000,2285.45,2285.766,0.3160000000002583
