time,cluster,msg_size,smoothed_rtt
18.178455,nancy,10000,9.392668
27.63861,nancy,10000,8.728278
36.615562,nancy,10000,8.709965
45.314476,nancy,10000,8.552898
18.110844,nancy,10000,9.395504
27.02718,nancy,10000,8.627552
35.62294,nancy,10000,8.482185
44.09703,nancy,10000,8.421483
156.56105,nantes,10000,94.125496
173.53885,nantes,10000,16.63527
190.18806,nantes,10000,16.466274
206.81613,nantes,10000,16.494665
167.14406,nantes,10000,98.880875
183.80934,nantes,10000,16.361914
200.36781,nantes,10000,16.441317
216.88524,nantes,10000,16.417828
167.60922,nantes,10000,93.31831
184.4176,nantes,10000,16.500366
200.95012,nantes,10000,16.3654
217.49191,nantes,10000,16.408962
152.5448,nantes,10000,74.58093
169.35934,nantes,10000,16.51391
185.83951,nantes,10000,16.365099
202.32767,nantes,10000,16.42435
146.82947,nantes,10000,66.798256
163.82852,nantes,10000,16.663256
180.44196,nantes,10000,16.442331
196.97821,nantes,10000,16.474663
99.65914,nantes,10000,31.553999
116.658745,nantes,10000,16.576977
133.33067,nantes,10000,16.545898
149.95616,nantes,10000,16.554893
129.67078,rennes,10000,96.224945
144.75528,rennes,10000,14.803304
159.48965,rennes,10000,14.631071
174.22627,rennes,10000,14.668364
110.386406,rennes,10000,73.94634
125.51202,rennes,10000,14.848166
140.31198,rennes,10000,14.698888
155.0809,rennes,10000,14.714816
127.50779,rennes,10000,86.107445
142.90988,rennes,10000,14.921872
158.07893,rennes,10000,14.803025
172.91164,rennes,10000,14.778076
123.18174,rennes,10000,77.12183
138.32283,rennes,10000,14.833473
153.19958,rennes,10000,14.758119
167.94353,rennes,10000,14.681622
18.196516,nancy,10000,9.456934
27.052105,nancy,10000,8.57057
35.7126,nancy,10000,8.554137
44.23368,nancy,10000,8.456059
132.77213,rennes,10000,81.88923
148.05635,rennes,10000,14.92607
162.89043,rennes,10000,14.734435
177.83908,rennes,10000,14.8182535
136.66997,rennes,10000,81.17107
152.18466,rennes,10000,14.975048
167.12411,rennes,10000,14.837632
181.97089,rennes,10000,14.791629
135.97437,rennes,10000,75.66804
151.28067,rennes,10000,14.914375
166.17755,rennes,10000,14.793436
181.00746,rennes,10000,14.774139
148.28752,rennes,10000,83.107216
163.62634,rennes,10000,14.912964
178.61723,rennes,10000,14.882623
193.4157,rennes,10000,14.739745
143.58199,rennes,10000,73.48028
158.89645,rennes,10000,14.8639965
174.05151,rennes,10000,14.934075
188.98001,rennes,10000,14.839206
151.68304,rennes,10000,76.60209
167.16772,rennes,10000,14.930116
182.10957,rennes,10000,14.838382
197.14449,rennes,10000,14.925847
144.25842,rennes,10000,67.380035
159.53223,rennes,10000,14.836156
174.40955,rennes,10000,14.772636
189.40738,rennes,10000,14.868098
97.96594,rennes,10000,19.804472
113.10589,rennes,10000,14.855556
127.98907,rennes,10000,14.775629
142.65343,rennes,10000,14.6083145
95.82527,rennes,10000,30.67906
110.95586,rennes,10000,14.812196
125.82795,rennes,10000,14.770892
140.65294,rennes,10000,14.770447
93.11831,rennes,10000,77.42081
108.343376,rennes,10000,14.896611
123.328766,rennes,10000,14.719316
138.18236,rennes,10000,14.794979
18.16735,nancy,10000,9.423209
27.046244,nancy,10000,8.594374
35.698475,nancy,10000,8.5387125
44.29639,nancy,10000,8.523003
1030.3739,rennes,10000,15.927276
1045.901,rennes,10000,14.966501
1061.0815,rennes,10000,14.920357
1075.9257,rennes,10000,14.79821
29.265936,lyon,10000,14.979517
43.978374,lyon,10000,14.024208
58.168232,lyon,10000,13.929958
72.151474,lyon,10000,13.842637
29.205969,lyon,10000,14.884338
43.920227,lyon,10000,14.010182
58.00867,lyon,10000,13.832887
72.00712,lyon,10000,13.85814
29.103004,lyon,10000,14.913542
43.84881,lyon,10000,14.061512
58.162575,lyon,10000,13.884636
72.1436,lyon,10000,13.84531
29.047615,lyon,10000,14.889268
43.6213,lyon,10000,13.993333
57.742603,lyon,10000,13.9111805
71.72632,lyon,10000,13.843792
29.145952,lyon,10000,14.837993
43.809082,lyon,10000,13.966633
57.995796,lyon,10000,13.896579
72.05047,lyon,10000,13.915305
29.111973,lyon,10000,14.858205
43.811546,lyon,10000,14.007089
57.965176,lyon,10000,13.892021
71.876144,lyon,10000,13.773218
28.949247,lyon,10000,14.87575
43.590267,lyon,10000,13.947161
57.706882,lyon,10000,13.861657
71.68679,lyon,10000,13.840762
29.036308,lyon,10000,14.878479
43.72203,lyon,10000,14.002965
57.871967,lyon,10000,13.894831
71.77291,lyon,10000,13.7650795
28.956,lyon,10000,14.76814
43.62152,lyon,10000,13.960029
57.792625,lyon,10000,13.911093
71.7727,lyon,10000,13.839231
18.202084,nancy,10000,9.372353
27.220755,nancy,10000,8.723684
35.89936,nancy,10000,8.579178
44.46257,nancy,10000,8.503687
29.320278,lyon,10000,14.919549
44.021423,lyon,10000,14.019512
58.204906,lyon,10000,13.900894
