cluster,run_index,msg_size,start,end,duration
lyon,0,10000,3131.2603,3131.599,0.33870000000024447
lyon,0,10000,3185.7683,3186.0583,0.2899999999999636
rennes,0,10000,3109.7925,3109.983,0.19050000000015643
rennes,0,10000,3115.3855,3115.472,0.08650000000034197
rennes,0,10000,3119.7317,3119.9358,0.20410000000038053
rennes,0,10000,3124.5117,3124.7664,0.25469999999995707
rennes,0,10000,3130.3174,3130.5261,0.20870000000013533
rennes,0,10000,3135.2644,3135.4685,0.20409999999992579
rennes,0,10000,3041.606,3041.734,0.12799999999970169
rennes,0,10000,3046.8713,3046.9602,0.08890000000019427
rennes,0,10000,3052.0986,3052.231,0.13240000000041618
rennes,0,10000,3057.204,3057.3357,0.13169999999990978
lyon,0,10000,3191.636,3191.9863,0.3503000000000611
rennes,0,10000,3062.2163,3062.3484,0.13209999999980937
rennes,0,10000,3067.185,3067.3762,0.1912000000002081
rennes,0,10000,3072.7034,3072.7764,0.07300000000032014
rennes,0,10000,3077.177,3077.3223,0.14529999999967913
rennes,0,10000,3082.2664,3082.401,0.13459999999986394
rennes,0,10000,3086.8845,3087.0383,0.15380000000004657
rennes,0,10000,3092.0024,3092.1826,0.18020000000024083
rennes,0,10000,3097.2754,3097.42,0.14460000000008222
rennes,0,10000,3102.2637,3102.449,0.1853000000000975
rennes,0,10000,3107.012,3107.1628,0.15079999999989013
lyon,0,10000,3198.6523,3198.7856,0.1332999999999629
rennes,0,10000,3112.6938,3112.8916,0.1977999999999156
rennes,0,10000,3034.5256,3034.6616,0.13599999999996726
rennes,0,10000,3039.4302,3039.5588,0.12860000000000582
rennes,0,10000,3044.746,3044.8218,0.07580000000007203
rennes,0,10000,3049.2703,3049.3967,0.12639999999964857
rennes,0,10000,3053.889,3054.0134,0.12439999999969586
rennes,0,10000,3059.3533,3059.4905,0.13719999999966603
rennes,0,10000,3063.6604,3063.7888,0.12839999999960128
rennes,0,10000,3069.3179,3069.4065,0.0886000000000422
rennes,0,10000,3074.0457,3074.1802,0.13449999999966167
lyon,0,10000,3203.6064,3203.9453,0.3388999999997395
rennes,0,10000,3079.2708,3079.367,0.09620000000040818
rennes,0,10000,3083.6555,3083.7842,0.1287000000002081
rennes,0,10000,3088.3738,3088.4954,0.12159999999994398
rennes,0,10000,3093.8882,3093.9863,0.09810000000015862
rennes,0,10000,3098.657,3098.7656,0.10860000000002401
rennes,0,10000,3103.7935,3103.892,0.09849999999960346
lyon,0,10000,2983.741,2984.086,0.3449999999997999
lyon,0,10000,2989.577,2989.9167,0.33969999999999345
lyon,0,10000,2995.0334,2995.3806,0.34720000000015716
lyon,0,10000,3001.3792,3001.7078,0.32860000000027867
lyon,0,10000,3210.0925,3210.393,0.300499999999829
lyon,0,10000,3007.0508,3007.3638,0.31300000000010186
lyon,0,10000,3013.1362,3013.467,0.33080000000018117
lyon,0,10000,3018.6074,3018.7053,0.09790000000020882
lyon,0,10000,3025.0366,3025.1138,0.07720000000017535
lyon,0,10000,3030.3657,3030.4692,0.10350000000016735
lyon,0,10000,3036.8943,3036.9739,0.07960000000002765
lyon,0,10000,3041.9954,3042.327,0.3316000000004351
lyon,0,10000,3048.47,3048.8286,0.358600000000024
lyon,0,10000,3053.9768,3054.339,0.36220000000002983
lyon,0,10000,3060.4263,3060.7937,0.36740000000008877
lyon,0,10000,3215.688,3216.0305,0.34249999999974534
lyon,0,10000,3066.7173,3067.0303,0.31300000000010186
nancy,0,10000,3060.9883,3061.1226,0.13430000000016662
nancy,0,10000,3064.6597,3064.7893,0.1295999999997548
nancy,0,10000,3068.4792,3068.6118,0.13259999999991123
nancy,0,10000,3072.698,3072.8318,0.13380000000006476
nancy,0,10000,3076.7336,3076.8647,0.1311000000000604
nancy,0,10000,3080.6267,3080.8877,0.261000000000422
nancy,0,10000,3084.5544,3084.8064,0.2519999999999527
nancy,0,10000,3088.5815,3088.7957,0.21420000000034634
nancy,0,10000,3092.7764,3092.9258,0.14939999999978681
lyon,0,10000,3105.815,3105.9739,0.15889999999990323
nancy,0,10000,3096.7246,3096.9817,0.25709999999980937
nancy,0,10000,3100.5908,3100.8447,0.2539000000001579
nancy,0,10000,3104.848,3105.1138,0.2658000000001266
nancy,0,10000,3108.9258,3109.1953,0.26949999999987995
nancy,0,10000,3113.284,3113.417,0.13299999999981083
nancy,0,10000,3117.2085,3117.4758,0.26729999999997744
nantes,0,10000,2914.767,2915.101,0.3340000000002874
nantes,0,10000,2921.6072,2921.7131,0.10590000000001965
nantes,0,10000,2926.585,2926.918,0.3330000000000837
nantes,0,10000,2933.2036,2933.5505,0.3469000000000051
lyon,0,10000,3111.865,3112.2024,0.3374000000003434
nantes,0,10000,2938.7283,2939.0623,0.33399999999983265
nantes,0,10000,2945.874,2945.9646,0.0905999999999949
nantes,0,10000,2951.355,2951.4688,0.11380000000008295
nantes,0,10000,2957.364,2957.7292,0.36520000000018626
nantes,0,10000,2962.474,2962.864,0.38999999999987267
nantes,0,10000,2969.9866,2970.1035,0.1168999999999869
nantes,0,10000,2974.9636,2975.347,0.38340000000016516
nantes,0,10000,2982.257,2982.5488,0.29179999999996653
nantes,0,10000,2987.483,2987.8064,0.323399999999765
nantes,0,10000,2994.734,2995.017,0.2829999999999018
lyon,0,10000,3118.6196,3118.7932,0.17360000000007858
nantes,0,10000,3001.4849,3001.7693,0.2844000000000051
nancy,0,10000,3019.6177,3019.716,0.09830000000010841
nancy,0,10000,3023.319,3023.4084,0.08939999999984138
nancy,0,10000,3027.6533,3027.8184,0.1651000000001659
nancy,0,10000,3031.4917,3031.6611,0.16939999999976862
nancy,0,10000,3035.3196,3035.4885,0.1689000000001215
nancy,0,10000,3039.423,3039.5908,0.16780000000017026
nancy,0,10000,3043.3313,3043.4263,0.09500000000025466
nancy,0,10000,3047.2695,3047.4412,0.17170000000032815
nancy,0,10000,3051.1396,3051.233,0.09340000000020154
lyon,0,10000,3123.9219,3124.2886,0.3667000000000371
nancy,0,10000,3055.1313,3055.297,0.16570000000001528
nancy,0,10000,3059.1968,3059.3936,0.19679999999971187
nancy,0,10000,3063.393,3063.5273,0.13430000000016662
nancy,0,10000,3067.8572,3068.0532,0.1959999999999127
nancy,0,10000,3072.0793,3072.2136,0.13430000000016662
nancy,0,10000,3076.439,3076.5283,0.08930000000009386
nantes,0,10000,2878.965,2879.07,0.10500000000001819
nantes,0,10000,2883.6755,2883.8875,0.21199999999998909
nantes,0,10000,2890.9202,2891.0188,0.09859999999980573
nantes,0,10000,2895.8274,2896.018,0.19059999999990396
lyon,0,10000,3137.61,3137.9038,0.29379999999991924
lyon,0,10000,3130.9941,3131.1233,0.12920000000030996
nantes,0,10000,2902.2573,2902.4607,0.20339999999987413
nantes,0,10000,2908.818,2908.977,0.15899999999965075
nantes,0,10000,2914.6157,2914.7898,0.17410000000018044
nantes,0,10000,2921.2402,2921.4639,0.223700000000008
nantes,0,10000,2926.9055,2927.181,0.2755000000001928
nantes,0,10000,2933.915,2934.1167,0.2017000000000735
nantes,0,10000,2940.126,2940.3,0.17399999999997817
nantes,0,10000,2946.8657,2947.0535,0.18780000000015207
nantes,0,10000,2952.814,2953.0464,0.23240000000032524
nantes,0,10000,2959.663,2959.9385,0.2755000000001928
lyon,0,10000,3135.5117,3135.8777,0.36599999999998545
nantes,0,10000,2965.9263,2966.1025,0.17619999999988067
nancy,0,10000,2997.8088,2997.9468,0.1380000000003747
nancy,0,10000,3001.457,3001.5872,0.13020000000005894
nancy,0,10000,3005.2073,3005.3484,0.14109999999982392
nancy,0,10000,3009.4395,3009.5813,0.14179999999987558
nancy,0,10000,3013.2231,3013.4172,0.1940999999997075
nancy,0,10000,3017.379,3017.4304,0.05140000000028522
nancy,0,10000,3021.0708,3021.2034,0.13259999999991123
nancy,0,10000,3025.2095,3025.4458,0.23630000000002838
nancy,0,10000,3029.46,3029.5942,0.13419999999996435
lyon,0,10000,3140.9075,3141.3176,0.41010000000005675
nancy,0,10000,3033.2388,3033.3726,0.13380000000006476
nancy,0,10000,3037.0535,3037.183,0.12950000000000728
nancy,0,10000,3040.944,3041.071,0.1269999999999527
nancy,0,10000,3044.648,3044.784,0.13599999999996726
nancy,0,10000,3049.7388,3049.877,0.13819999999986976
nancy,0,10000,3053.8135,3053.9485,0.13499999999976353
nancy,0,10000,2960.6123,2960.927,0.31470000000035725
nancy,0,10000,2964.7632,2965.1074,0.3442000000000007
nancy,0,10000,2968.8506,2969.2026,0.35199999999986176
nancy,0,10000,2972.8975,2973.2083,0.3107999999997446
lyon,0,10000,3147.525,3147.892,0.3669999999997344
nancy,0,10000,2976.6548,2977.0498,0.3949999999999818
nancy,0,10000,2980.7131,2981.0493,0.3362000000001899
nancy,0,10000,2984.6775,2985.0303,0.3528000000001157
nancy,0,10000,2988.9487,2989.2734,0.3247000000001208
