time,run_index,msg_size,cwnd
3338.439,0,100000,14850
3349.647,0,100000,10395
3400.8674,0,100000,11745
3459.539,0,100000,13095
3518.6262,0,100000,14445
3417.14,1,100000,14850
3443.2954,1,100000,10395
3502.992,1,100000,11745
3563.6633,1,100000,13095
3623.8794,1,100000,14445
3402.723,2,100000,14850
3413.6045,2,100000,10395
3464.543,2,100000,11745
3522.9854,2,100000,13095
3582.0828,2,100000,14445
3294.7031,3,100000,14850
3317.0571,3,100000,10395
3375.62,3,100000,11745
3434.9326,3,100000,13095
3493.3726,3,100000,14445
3284.0063,4,100000,14850
3294.7825,4,100000,10395
3345.533,4,100000,11745
3405.338,4,100000,13095
3465.7722,4,100000,14445
3325.7046,5,100000,14850
3349.9912,5,100000,10395
3378.7478,5,100000,11745
3437.992,5,100000,13095
3496.4448,5,100000,14445
3314.729,6,100000,14850
3325.0166,6,100000,10395
3375.6455,6,100000,11745
3435.0269,6,100000,13095
3494.7378,6,100000,14445
3287.974,7,100000,14850
3313.0034,7,100000,10395
3373.3032,7,100000,11745
3432.6006,7,100000,13095
3318.429,8,100000,14850
3330.9993,8,100000,10395
3352.9111,8,100000,11745
3411.5935,8,100000,13095
3470.9038,8,100000,14445
3279.3926,9,100000,14850
3290.1746,9,100000,10395
3341.8076,9,100000,11745
3400.8335,9,100000,13095
3457.7869,9,100000,14445
3296.3918,0,1000000,14850
3319.42,0,1000000,10395
3348.7644,0,1000000,11745
3409.8582,0,1000000,13095
3470.2625,0,1000000,14445
3533.8342,0,1000000,15795
3565.4773,0,1000000,17145
3596.497,0,1000000,18495
3626.8516,0,1000000,19845
3661.583,0,1000000,21195
3693.5068,0,1000000,22545
3724.955,0,1000000,23895
3756.0618,0,1000000,25245
3785.3147,0,1000000,26595
3814.6118,0,1000000,27945
3844.2039,0,1000000,29295
3873.4995,0,1000000,30645
3903.3071,0,1000000,31995
3932.5369,0,1000000,33345
3962.283,0,1000000,34695
3994.0076,0,1000000,36045
4029.1528,0,1000000,37395
4058.3157,0,1000000,38745
4090.4187,0,1000000,40095
4122.621,0,1000000,41445
4155.2246,0,1000000,42795
4187.9893,0,1000000,44145
4219.2427,0,1000000,45495
4252.1665,0,1000000,46845
4284.229,0,1000000,48195
4315.581,0,1000000,49545
4347.2114,0,1000000,50895
4380.443,0,1000000,52245
3421.6587,1,1000000,14850
3446.8828,1,1000000,10395
3507.0388,1,1000000,11745
3566.4841,1,1000000,13095
3628.2825,1,1000000,14445
3689.8035,1,1000000,15795
3720.8032,1,1000000,17145
3752.4172,1,1000000,18495
3785.5754,1,1000000,19845
3818.3518,1,1000000,21195
3850.8286,1,1000000,22545
3883.4158,1,1000000,23895
3916.4243,1,1000000,25245
3949.4268,1,1000000,26595
3982.8948,1,1000000,27945
4014.5378,1,1000000,29295
4045.8374,1,1000000,30645
