cluster,run_index,msg_size,client_ip,fc_bytes,fc_pkts,uc_bytes,uc_pkts,data_bytes,data_pkts,first_data,last_data,rate_mbps,fc_data_span_ms,aligned,uc_aligned
nancy,0,10000,10.144.12.10,10485,9,13910,15,20677,17,1091.3407,1106.1855,11.143026514334927,0.21870000000012624,False,False
nancy,0,10000,10.144.12.11,10485,9,13910,15,20677,17,1095.2101,1109.5256,11.555027767105642,0.11969999999996617,False,False
nancy,0,10000,10.144.12.12,10485,9,13910,15,20677,17,1099.0684,1112.9229,11.939514237251506,0.21359999999981483,False,False
nancy,0,10000,10.144.12.13,10485,9,13910,15,20677,17,1103.0375,1117.0052,11.842751490939683,0.23450000000002547,False,False
nancy,0,10000,10.144.12.14,10485,9,13910,15,20677,17,1107.0789,1121.4636,11.499440377623394,0.12349999999992178,False,False
nancy,0,10000,10.144.12.15,10485,9,13910,15,20677,17,1111.1951,1124.8054,12.153736508379637,0.12110000000006949,False,False
nancy,0,10000,10.144.12.16,10485,9,13910,15,20677,17,1115.2518,1130.011,11.20765353135674,0.2199000000000524,False,False
nancy,0,10000,10.144.12.17,10485,9,13910,15,20677,17,1029.5723,1044.2014,11.30732580951674,0.1512000000000171,False,False
nancy,0,10000,10.144.12.18,10485,9,13910,15,20677,17,1033.4731,1047.6006,11.708794903556848,0.14790000000016335,False,False
nancy,0,10000,10.144.12.19,10485,9,13910,15,20677,17,1037.5293,1052.2201,11.25983608789168,0.21420000000011896,False,False
nancy,0,10000,10.144.12.2,10485,9,13910,15,20677,17,1059.3947,1073.0326,12.129140116880214,0.1269999999999527,False,False
nancy,0,10000,10.144.12.20,10485,9,13910,15,20677,17,1041.463,1056.0634,11.329552614996821,0.30140000000005784,False,False
nancy,0,10000,10.144.12.21,10485,9,13910,15,20677,17,1045.2717,1059.8187,11.37114181618201,0.20990000000006148,False,False
nancy,0,10000,10.144.12.22,10485,9,13910,15,20677,17,1049.2654,1062.9794,12.061834621554667,0.1516999999998916,False,False
nancy,0,10000,10.144.12.23,10485,9,13910,15,20677,17,1053.0233,1067.2772,11.604964255396824,0.2605999999998403,False,False
nancy,0,10000,10.144.12.24,10485,9,13910,15,20677,17,1056.916,1071.2909,11.50728005064381,0.2536000000000058,False,False
nancy,0,10000,10.144.12.25,10485,9,13910,15,20677,17,1061.059,1075.419,11.519220055710205,0.20800000000008367,False,False
nancy,0,10000,10.144.12.26,10485,9,13910,15,20677,17,1064.8129,1079.3037,11.415242774726005,0.260300000000143,False,False
nancy,0,10000,10.144.12.27,10485,9,13910,15,20677,17,1068.8722,1083.4358,11.358180669614693,0.26720000000000255,False,False
nancy,0,10000,10.144.12.28,10485,9,13910,15,20677,17,1072.9341,1087.4745,11.376303265384651,0.26330000000007203,False,False
nancy,0,10000,10.144.12.29,10485,9,13910,15,20677,17,1077.2775,1091.921,11.296206508006865,0.2617000000000189,False,False
nancy,0,10000,10.144.12.3,10485,9,13910,15,20677,17,1063.1776,1077.089,11.890679586526195,0.12439999999992324,False,False
nancy,0,10000,10.144.12.30,10485,9,13910,15,20677,17,1081.6857,1095.6595,11.837581760151155,0.1532999999999447,False,False
nancy,0,10000,10.144.12.31,10485,9,13910,15,20677,17,1086.0117,1100.116,11.728054564919946,0.15650000000005093,False,False
nancy,0,10000,10.144.12.32,10485,9,13910,15,20677,17,746.9202,761.61127,11.259629148863928,0.39803999999992357,False,False
nancy,0,10000,10.144.12.33,10485,9,13910,15,20677,17,750.7883,764.99567,11.642971218459177,0.31769999999994525,False,False
nancy,0,10000,10.144.12.34,10485,9,13910,15,20677,17,754.9616,769.3696,11.480843975569117,0.42566999999996824,False,False
nancy,0,10000,10.144.12.35,10485,9,13910,15,20677,17,759.22974,773.01715,11.997612314423067,0.31506000000001677,False,False
nancy,0,10000,10.144.12.36,10485,9,13910,15,20677,17,763.36914,777.36755,11.816770618948835,0.3163600000000315,False,False
nancy,0,10000,10.144.12.37,10485,9,11362,13,18129,15,767.6169,779.7433,11.960021110964517,0.31674999999995634,False,False
nancy,0,10000,10.144.12.38,10485,9,13910,15,20677,17,771.73865,785.1994,12.288765484835576,0.26238999999998214,False,False
nancy,0,10000,10.144.12.39,10485,9,13910,15,20677,17,775.73755,789.91125,11.670629405165956,0.31450999999992746,False,False
nancy,0,10000,10.144.12.4,10485,9,13910,15,20677,17,1067.0234,1081.1727,11.69075501968292,0.22280000000000655,False,False
