msg_size,run_index,direction,path,cluster,t_ms,bytes,packets
100000,0,received,fc,nancy,-10.0,5136,4
100000,0,received,fc,nancy,0.0,1105464,896
100000,0,received,fc,nancy,10.0,776475,675
100000,0,received,fc,nancy,20.0,96300,75
100000,0,received,fc,nancy,30.0,680175,600
100000,0,received,fc,nancy,50.0,96300,75
100000,0,received,fc,nancy,60.0,781425,675
100000,0,received,fc,nancy,80.0,96300,75
100000,0,received,fc,nancy,90.0,781425,675
100000,0,received,fc,nancy,100.0,96300,75
100000,0,received,fc,nancy,120.0,882675,750
100000,0,received,fc,nancy,130.0,96300,75
100000,0,received,fc,nancy,150.0,882675,750
100000,0,received,fc,nancy,160.0,96300,75
100000,0,received,fc,nancy,170.0,14124,11
100000,0,received,fc,nancy,180.0,969801,889
100000,0,received,fc,nancy,190.0,96300,75
100000,0,received,fc,nancy,200.0,7704,6
100000,0,received,fc,nancy,210.0,290346,294
100000,0,received,fc,nantes,0.0,1110600,900
100000,0,received,fc,nantes,10.0,776475,675
100000,0,received,fc,nantes,20.0,96300,75
100000,0,received,fc,nantes,30.0,680175,600
100000,0,received,fc,nantes,50.0,96300,75
100000,0,received,fc,nantes,60.0,781425,675
100000,0,received,fc,nantes,80.0,96300,75
100000,0,received,fc,nantes,90.0,781425,675
100000,0,received,fc,nantes,100.0,96300,75
100000,0,received,fc,nantes,120.0,882675,750
100000,0,received,fc,nantes,130.0,96300,75
100000,0,received,fc,nantes,150.0,882675,750
100000,0,received,fc,nantes,160.0,96300,75
100000,0,received,fc,nantes,170.0,136104,106
100000,0,received,fc,nantes,180.0,847821,794
100000,0,received,fc,nantes,190.0,96300,75
100000,0,received,fc,nantes,200.0,5136,4
100000,0,received,fc,nantes,210.0,292914,296
100000,0,received,fc,rennes,-10.0,1284,1
100000,0,received,fc,rennes,0.0,1109316,899
100000,0,received,fc,rennes,10.0,776475,675
100000,0,received,fc,rennes,20.0,96300,75
100000,0,received,fc,rennes,30.0,680175,600
100000,0,received,fc,rennes,50.0,96300,75
100000,0,received,fc,rennes,60.0,781425,675
100000,0,received,fc,rennes,80.0,96300,75
100000,0,received,fc,rennes,90.0,781425,675
100000,0,received,fc,rennes,100.0,96300,75
100000,0,received,fc,rennes,120.0,882675,750
100000,0,received,fc,rennes,130.0,96300,75
100000,0,received,fc,rennes,150.0,882675,750
100000,0,received,fc,rennes,160.0,96300,75
100000,0,received,fc,rennes,170.0,105288,82
100000,0,received,fc,rennes,180.0,878637,818
100000,0,received,fc,rennes,190.0,96300,75
100000,0,received,fc,rennes,200.0,50076,39
100000,0,received,fc,rennes,210.0,247974,261
100000,0,received,fc,toulouse,0.0,1110600,900
100000,0,received,fc,toulouse,10.0,776475,675
100000,0,received,fc,toulouse,20.0,96300,75
100000,0,received,fc,toulouse,30.0,680175,600
100000,0,received,fc,toulouse,50.0,96300,75
100000,0,received,fc,toulouse,60.0,781425,675
100000,0,received,fc,toulouse,80.0,96300,75
100000,0,received,fc,toulouse,90.0,781425,675
100000,0,received,fc,toulouse,100.0,96300,75
100000,0,received,fc,toulouse,120.0,882675,750
100000,0,received,fc,toulouse,130.0,96300,75
100000,0,received,fc,toulouse,150.0,882675,750
100000,0,received,fc,toulouse,160.0,96300,75
100000,0,received,fc,toulouse,170.0,1284,1
100000,0,received,fc,toulouse,180.0,982641,899
100000,0,received,fc,toulouse,190.0,96300,75
100000,0,received,fc,toulouse,200.0,7826,7
100000,0,received,fc,toulouse,210.0,290224,293
100000,0,received,uc,nancy,-1940.0,2846,4
100000,0,received,uc,nancy,-1930.0,9195,12
100000,0,received,uc,nancy,-1920.0,8060,13
100000,0,received,uc,nancy,-1910.0,7533,15
100000,0,received,uc,nancy,-1900.0,18002,27
100000,0,received,uc,nancy,-1890.0,23426,39
100000,0,received,uc,nancy,-1880.0,16347,29
100000,0,received,uc,nancy,-1870.0,3962,18
100000,0,received,uc,nancy,-1860.0,6155,17
100000,0,received,uc,nancy,-1850.0,16544,25
100000,0,received,uc,nancy,-1840.0,30862,46
100000,0,received,uc,nancy,-1830.0,18107,34
100000,0,received,uc,nancy,-1820.0,2746,18
100000,0,received,uc,nancy,-1810.0,527,11
100000,0,received,uc,nancy,-1700.0,5692,8
100000,0,received,uc,nancy,-1690.0,7156,10
100000,0,received,uc,nancy,-1680.0,10928,17
100000,0,received,uc,nancy,-1670.0,1884,8
100000,0,received,uc,nancy,-1660.0,5972,12
100000,0,received,uc,nancy,-1650.0,4396,8
100000,0,received,uc,nancy,-1640.0,15156,23
100000,0,received,uc,nancy,-1630.0,3983,10
100000,0,received,uc,nancy,-1620.0,431,5
100000,0,received,uc,nancy,-1610.0,5864,12
100000,0,received,uc,nancy,-1600.0,7156,10
