index,build,test_index,y_LATENCY,run_index
0,Local,0,16021.0,0
1,Local,0,16065.0,1
2,Local,0,16022.0,2
3,Local,0,15927.0,3
4,Local,0,15868.0,4
5,Local,0,16072.0,5
6,Local,0,16124.0,6
7,Local,0,15774.0,7
8,Local,0,16013.0,8
9,Local,0,15891.0,9
10,Local,0,16016.0,10
11,Local,0,16009.0,11
12,Local,0,15834.0,12
13,Local,0,16076.0,13
14,Local,0,16023.0,14
15,Local,0,15890.0,15
16,Local,0,16068.0,16
17,Local,0,16179.0,17
18,Local,0,8154.0,18
19,Local,0,8315.0,19
20,Local,0,8176.0,20
21,Local,0,8341.0,21
22,Local,0,8064.0,22
23,Local,0,8233.0,23
24,Local,0,8253.0,24
25,Local,0,8075.0,25
26,Local,0,8341.0,26
27,Local,0,8118.0,27
28,Local,0,8218.0,28
29,Local,0,8253.0,29
30,Local,0,8140.0,30
31,Local,0,8214.0,31
32,Local,0,8161.0,32
33,Local,0,8123.0,33
34,Local,0,8304.0,34
35,Local,0,8290.0,35
36,Local,0,15746.0,36
37,Local,0,15976.0,37
38,Local,0,15889.0,38
39,Local,0,15936.0,39
40,Local,0,15687.0,40
41,Local,0,15898.0,41
42,Local,0,15754.0,42
43,Local,0,15532.0,43
44,Local,0,15748.0,44
45,Local,0,15599.0,45
46,Local,0,15811.0,46
47,Local,0,15838.0,47
48,Local,0,15629.0,48
49,Local,0,15720.0,49
50,Local,0,15700.0,50
51,Local,0,15586.0,51
52,Local,0,15749.0,52
53,Local,0,15743.0,53
54,Local,0,7995.0,54
55,Local,0,8135.0,55
56,Local,0,7911.0,56
57,Local,0,8019.0,57
58,Local,0,7860.0,58
59,Local,0,7983.0,59
60,Local,0,7979.0,60
61,Local,0,7865.0,61
62,Local,0,8071.0,62
63,Local,0,7921.0,63
64,Local,0,7973.0,64
65,Local,0,7994.0,65
66,Local,0,7974.0,66
67,Local,0,7912.0,67
68,Local,0,7936.0,68
69,Local,0,7910.0,69
70,Local,0,7962.0,70
71,Local,0,8050.0,71
